grantee,url,Date Awarded,Period,Amount,Focus Area,Challenge,Goal,Project Team
OpenJudiciary.org,https://knightfoundation.org/grants/6825,,07/22/2015 - 12/31/2016,"$ 35,000.00",Technology,"Knight News Challenge, Knight Prototype Fund: Arts and Technology","Helping to make judicial elections more transparent by creating online profiles of judges that show campaign contributions,judicial opinions and biographies.",Free Law Project
Erase the Line,https://knightfoundation.org/grants/6827,,07/22/2015 - 12/31/2016,"$ 35,000.00",Technology,"Knight News Challenge, Knight Prototype Fund: Arts and Technology",Helping election officials improve the voting process by creating a digital platform that will document wait-time information at polling places across the nation.,District of Columbia Board of Elections
Campaign Hound,https://knightfoundation.org/grants/6829,,07/22/2015 - 05/19/2016,"$ 150,000.00",Technology,Knight News Challenge,"Helping to hold politicians more accountable through a searchable archive of campaign speech transcripts that provides customized alerts to keep voters informed about candidates and allows journalists and others to monitor political speeches remotely.

	Few citizens have direct contact with their candidates and elected officials. As such, the media and other sources are what keep them informed about politicians both on the campaign trail and once they are in office. To give citizens more information and help journalists improve their political coverage, the Reese News Lab will create a searchable archive of campaign speech transcripts that provides users with customized keyword alerts. It will use crowdsourcing and computer natural language processing to gather recordings of speeches and generate transcripts, enabling subscribers to search for exact words spoken by politicians. Users can also monitor political speeches remotely, providing easy access. In addition, it will alert subscribers when custom keywords are spoken on the campaign trail. The archive will be piloted in North Carolina.",The University of North Carolina at Chapel Hill
Judge Your Judges,https://knightfoundation.org/grants/6833,,07/22/2015 - 02/20/2017,"$ 35,000.00",Technology,"Knight News Challenge, Knight Prototype Fund: Arts and Technology","Enabling people to make more knowledgeable decisions about judicial elections through a tool that will provide key information,insights and context about candidates,their views and the court system.",New York Public Radio
User-Friendly Application for Election Data,https://knightfoundation.org/grants/6857,,07/20/2015 - 01/15/2016,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,To prototype a data-driven application that will compile election-related information for the public and election professionals with the goal of making data-related processes much more efficient.,Johnson County Election Office
Data Privacy Project,https://knightfoundation.org/grants/6849,,07/15/2015 - 01/11/2016,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"To prototype the Data Privacy Project, an online technical support network that will make it easy for libraries to set up secure digital services and better educate individuals and communities about the challenges of always-on, networked, and easily surveilled lifestyles.",Data & Society Research Institute
scrubadub,https://knightfoundation.org/grants/6863,,07/15/2015 - 01/15/2016,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"To prototype Scrubadub, a tool that will enable FOIA officers to de-identify unstructured text to rapidly accelerate the process of releasing documents while maintaining privacy for individuals.",Datascope Analytics
Real-Time Foreign Lobbying Mashup,https://knightfoundation.org/grants/6853,,07/15/2015 - 01/15/2016,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"To improve foreign.influenceexplorer.com, a Sunlight Foundation tool that uses Foreign Agent Registration Act (FARA) data to surface interesting connections between foreign clients and their U.S. agents, helping journalists write stories about countries influencing US policies.",Sunlight Foundation
Network Geography 101,https://knightfoundation.org/grants/6866,,07/15/2015 - 01/15/2016,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"To prototype Network Geography 101, a curriculum and toolkit of digital and analog resources for teaching people about the physical realities, hardware, and power dynamics of the internet.",Data & Society Research Institute
Project Facet,https://knightfoundation.org/grants/6837,,07/14/2015 - 01/15/2016,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"Helping newsrooms plan and coordinate coverage across publishing platforms through an editorial workflow management app that fosters collaboration across teams and with outside partners.

	 

Note: also known as Bly.",Heather Bryant
Placelet,https://knightfoundation.org/grants/6840,,07/14/2015 - 01/14/2016,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"Placelet is a system for collecting, analyzing and visualizing data on the human experience of urban places. The physical sensor network collects movement, audio and air quality data with the goal of better correlating physical conditions and activity to the invisible economic and social patterns that shape the public realm at the scale of a single urban block or streetscape.",MIT Media Lab
Media Public,https://knightfoundation.org/grants/6859,,07/13/2015 - 01/13/2016,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"Media Public will create a platform that will allow public media organizations to recruit participants to help station staff with various activities, and receive membership in return. The platform will also serve as a repository for stations to share information with each other and with the public",Media Public
Your Next Representative,https://knightfoundation.org/grants/6858,,07/09/2015 - 01/15/2016,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"Expanding YourNextMP.com, a crowdsourcing website for gathering and sharing key information on election candidates, to the United States and Argentina; the project is a collaboration with Argentina-based Congreso Interactivo",DataMade
Audience engagement project,https://knightfoundation.org/grants/6798,,07/01/2015 - 07/30/2018,"$ 2,208,000.00",Journalism,,"To advance excellence in investigative and data journalism by improving ProPublica's audience engagement system, assisting journalists in localizing ProPublica's national investigations, and training journalists.",ProPublica
Reed College of Media Innovator-in-Residence Program,https://knightfoundation.org/grants/6598,,07/01/2015 - 06/30/2017,"$ 200,000.00",Technology,,"To support an innovator-in-residence program, which embeds two innovators from national and regional media organizations into the classrooms at West Virginia University, exposing students and professors to emerging technology and innovation practices.",West Virginia University
West Side Business Development,https://knightfoundation.org/grants/6806,,07/01/2015 - 06/30/2018,"$ 1,508,000.00",Communities,,To expand opportunity in the historic West End of Charlotte by preparing local businesses and the community to take advantage of the new streetcar link to Uptown by creating a new business improvement district.,CCCP Trust
Support San Jose Downtown Association,https://knightfoundation.org/grants/6811,,07/01/2015 - 07/31/2020,"$ 625,000.00",Communities,,"To attract and retain talent in San Jose by expanding the San Jose Downtown Association's Street Life Plan and Public Space Activation Projects, as part of an effort to build community in the city's core.",San Jose Downtown Association
Knight First Amendment Institute,https://knightfoundation.org/grants/6813,09/08/2016,07/01/2015 - 07/01/2020,"$ 25,000,000.00",Journalism,,"To preserve broad First Amendment rights in the digital age through the establishment of an institute at Columbia University that would champion free expression through litigation, education and scholarship.",Trustees of Columbia University in the City of New York
Applied Research Center,https://knightfoundation.org/grants/6728,,07/01/2015 - 05/30/2019,"$ 3,016,000.00",Journalism,,To create an applied research center dedicated to transforming legacy news organizations and supporting innovative community news sites at the local and regional level.,The University of North Carolina at Chapel Hill
Knight First Amendment Institute,https://knightfoundation.org/grants/6812,,07/01/2015 - 07/01/2020,"$ 5,000,000.00",Journalism,,"To preserve broad First Amendment rights in the digital age through the establishment of an institute at Columbia University that would champion free expression through litigation, education and scholarship.",Trustees of Columbia University in the City of New York
Research into the media and philanthropy,https://knightfoundation.org/grants/6559,,07/01/2015 - 06/30/2018,"$ 150,000.00",Journalism,,For a research fellow at the Sanford School of Public Policy to study the framing of philanthropy in the media in Western liberal democracies.,Duke University
Motor City Match,https://knightfoundation.org/grants/6814,,07/01/2015 - 06/30/2018,"$ 1,512,500.00",Communities,,"To expand opportunity in Detroit by supporting Motor City Match, Mayor Mike Duggan's new program to bring vibrancy to neighborhood commercial corridors in the city.",Detroit Economic Growth Corp.
Extending the Digital Public Library of America's National Network to Uncovered States,https://knightfoundation.org/grants/6736,,06/25/2015 - 12/31/2017,"$ 1,535,792.00","Technology, Communities",Knight Library Initiative,"To expand the Digital Public Library of America into all unserved states or regions, adding new hubs with unique items from these communities into DPLA's collection.",Digital Public Library of America
StoryCorps App Development,https://knightfoundation.org/grants/6809,,06/09/2015 - 06/14/2017,"$ 600,000.00",Technology,,"To support the development and sustainability of StoryCorps' technology with a focus on the StoryCorps app, which allows anyone with a smartphone to record interviews that collect, preserve and share the stories of our lives.","StoryCorps, Inc."
Heartmob,https://knightfoundation.org/grants/6810,09/08/2016,06/09/2015 - 06/05/2018,"$ 516,000.00",Technology,,"To promote free expression on the Internet by developing HeartMob, a platform to provide those experiencing online harassment with a safe way to report incidents and to receive support from volunteers.",Hollaback
Wyncode Scholarships,https://knightfoundation.org/grants/6717,,06/01/2015 - 05/31/2016,"$ 75,000.00",Communities,,"To enrich the ideas, opportunities and talent in Miami's entrepreneurial ecosystem by supporting Wyncode's effort to promote tech diversity by offering scholarships to its 9-week bootcamp for students from low-income and under-represented parts of the community, with a particular emphasis on women and individuals of color.",JMJ Clutch aka Wyncode
Millenial Retention through Quality Public Schools,https://knightfoundation.org/grants/6735,,06/01/2015 - 05/31/2016,"$ 250,000.00",Communities,,"To help Philadelphia retain talented 25-34 year-olds who may leave the city due to a perceived lack of quality public schools by supporting The Fund's rebranding efforts, which includes promoting stories of excellence in public school education.",The Fund for the School District of Philadelphia
Covert Operations & Border Cantos,https://knightfoundation.org/grants/6794,,05/01/2015 - 08/31/2016,"$ 50,000.00",Arts,,To engage San Jose audiences with two new exhibitions: 'Covert Operations: Investigating the Known Unknown' - a group exhibition addressing digital surveillance; and 'Richard Misrach and Guillermo Galindo: Border Cantos' - a cross-disciplinary response to immigration across the U.S-Mexico border.,San Jose Museum of Art Association
The Wilma Hothouse,https://knightfoundation.org/grants/6799,,05/01/2015 - 04/30/2017,"$ 60,000.00",Arts,,To support talent development in Philadelphia's theatre community with 'The Wilma Hothouse' - a series of master classes and workshops led by internationally renowned theatre instructors.,The Wilma Theater
Jim Campbell Exhibition,https://knightfoundation.org/grants/6795,,05/01/2015 - 04/30/2016,"$ 50,000.00",Arts,,To engage San Jose audiences with a solo-exhibition of cutting-edge LED light installations by internationally renowned Bay Area artist Jim Campbell.,San Jose Institute of Contemporary Art
Inspiration by Discovery - Outdoor Taiko,https://knightfoundation.org/grants/6800,,05/01/2015 - 04/30/2016,"$ 20,000.00",Arts,,To engage local audiences with 'Inspiration by Discovery' - a series of site-specific taiko performances in public spaces across San Jose.,San Jose Taiko Group
'57 Chevy,https://knightfoundation.org/grants/6785,,05/01/2015 - 04/30/2016,"$ 25,000.00",Arts,,To engage San Jose audiences with the premiere of '57 CHEVY' - a one-man play by renowned actor Ricardo Salinas.,Movimiento de Arte y Cultura Latino Americana de San Jose
The Commons,https://knightfoundation.org/grants/6792,,05/01/2015 - 04/30/2016,"$ 15,000.00",Arts,,To engage local audiences with 'The Commons' - a free immersive performance and concert series held in public parks throughout downtown San Jose.,The Commons
VentureHive,https://knightfoundation.org/grants/6601,,05/01/2015 - 12/31/2015,"$ 210,000.00",Communities,,"To support Miami's entrepreneurial community by expanding Venture Hive's accelerator program with greater mentorship and access to funding, along with programming including 2-day Angel Investor Summit and publicly-available talks, panels and workshops.",Miami-Dade Entrepreneurial Development Organization
Progressions,https://knightfoundation.org/grants/6793,,05/01/2015 - 06/30/2016,"$ 50,000.00",Arts,,"To engage San Jose at-risk youth with the arts by expanding 'Progressions'- an El Sistema-inspired program that will provide after-school, high-level music training to local K-12 students.",San Jose Jazz
SubZero Festival 2015,https://knightfoundation.org/grants/6801,,05/01/2015 - 04/30/2016,"$ 20,000.00",Arts,,"To engage San Jose audiences with the 2015 SubZero Festival - an annual showcase of innovative and emerging artists, performers and musicians.",Two Fish Design
The Giselle Project,https://knightfoundation.org/grants/6805,,05/01/2015 - 04/30/2016,"$ 50,000.00",Arts,,"To engage San Jose audiences with 'The Giselle Project' - a ballet celebrating the rich heritage of the internationally renowned Ballet Nacional de Cuba and its iconic choreographer, Alicia Alonso.",Ballet San Jose Silicon Valley
Vrindavan and 2016 Main Stage Production,https://knightfoundation.org/grants/6802,,05/01/2015 - 04/30/2017,"$ 30,000.00",Arts,,"To engage San Jose audiences with diversity in the arts by premiering the Hindi film 'Vrindavan' - Naatak's 50th production, which sheds light on the culturally sensitive topic of widowhood in India.",Naatak
NewsU Reimagined,https://knightfoundation.org/grants/7709,09/09/2016,05/01/2015 - 02/29/2016,"$ 195,000.00",Journalism,,To design a plan for the e-learning platform NewsU to test current assumptions and understand user and product needs as the first phase of a larger overhaul.,The Poynter Institute for Media Studies
Culture Conversations,https://knightfoundation.org/grants/6781,,04/30/2015 - 11/30/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,To help the San Francisco art community preserve digital arts criticism related to dance through a tool that will make these stories fully searchable using descriptive metadata and linking it to streaming dance videos.,Dance Heritage Coalition
Metadata beyond the Open Graph,https://knightfoundation.org/grants/6775,,04/29/2015 - 11/19/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"To prototype Contextly, a tool to help journalists get better metadata into their stories and provide context while they write, as part of an effort to accelerate and learn from early-stage media and information projects.",Contextly
Perceptoscope,https://knightfoundation.org/grants/6780,,04/29/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"To prototype Perceptoscope, a set of augmented reality coin-operated binoculars to help civic institutions publicly present site-specific media, as part of an effort to accelerate and learn from early-stage media and information projects.",Perceptoscope
Futurism.co 2.0,https://knightfoundation.org/grants/6782,,04/29/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"Futurism.co 2.0 will be prototyping a web based evolving knowledge system (Smart Feed) that aggregates the top relevant science and technology stories from hundreds of journals and publications and ranks them based on keyword usage, source credibility, and social virality metrics.",Futurism
Verified Pixel Project,https://knightfoundation.org/grants/6791,,04/29/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"The Verified Pixel Project proposes to build a service that will unify several popular existing verification tests in one workflow tool using original code and layered API calls. We feel our unique technical approach will help demystify verification, allow it to scale to demand, and open up verification capability to a larger and broader audience.",Samaruddin Stewart
The Ripple Mapping Tool,https://knightfoundation.org/grants/6796,,04/29/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"The Ripple Mapping tool collects and visualizes the outcomes of an event or program. It meets the need expressed repeatedly by non-profit organizations, foundations, social entrepreneurs and others for new ways of measuring the ever-multiplying outcomes that may emerge from a single training, grant award, or other discrete interaction.",Allied Media Projects
Unveillance,https://knightfoundation.org/grants/6807,,04/29/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"Unveillance is a library that combines the best aspects of friend-to-friend file sharing, machine learning, and if-this-then-that-style programmability. The platform is architected to quickly facilitate Rube-Goldberg-esque explorations of data sets.",Harlo Holmes
KLRN Virtual Classroom,https://knightfoundation.org/grants/6789,,04/29/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"To prototype the KLRN Virtual Classroom, a tool that will enable students and parents to access PBS educational resources online in a safe environment, with moderated supervision.

	KLRN San Antonio has been a trailblazing public television station for over 50 years. We have provided not only educational and cultural television, but public services like our proposed KLRN Virtual Classroom across the South Central region. As a PBS member station, we have made it our mission to enrich the lives of people throughout South Central Texas through the power of communication -- providing quality programs and services that advance education, art and culture, and community. KLRN Virtual Classroom will be partnered with a network of homeschooling parents, Gifted Homeschool Forum, which has more than 25,000 members who will be involved in the development of curriculum topics for us to design talking points and extra resources. With this collaboration, we will be able to know instantly what we can improve on as the program expands.",Alamo Public Telecommunications Council dba KLRN
OpenPermit,https://knightfoundation.org/grants/6776,,04/29/2015 - 11/24/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"To prototype a tool to help citizens and businesses more easily access permitting information, as part of an effort to accelerate and learn from early-stage media and information projects.",Aecosoft Corp.
"She said, he said",https://knightfoundation.org/grants/6777,,04/29/2015 - 10/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"To prototype She Said, He Said, a tool to for searching videos of public meetings for moments when a specific government official is speaking, as part of an effort to accelerate and learn from early-stage media projects.",Open Media Foundation
Semantic timeline maker,https://knightfoundation.org/grants/6787,,04/29/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"The world's data is expanding very quickly. Journalists need new tools to make sense of it. We're working on one such program, which extracts a timeline of events from a large amount of natural-language text. We are applying for Knight Prototype funding to improve this timeline maker so that journalists might be able to use it in real-life reporting.",The Lens
Ballot,https://knightfoundation.org/grants/6803,,04/29/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"Ballot is a web and mobile app that helps voters navigate their ballot, review political candidates, and learn about the voting process. Our goal is to improve the voting experience and increase voter turnout by making useful info readily accessible. The key feature is a political quiz that will recommend candidates based on political compatibility.",WeVote LLC
Numina,https://knightfoundation.org/grants/6778,,04/29/2015 - 10/30/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"Numina is a data collection tool to create analytics for places. We will deploy plug-and-play, machine learning-based sensors in high-risk neighborhoods for evaluation by the City of St. Louis Health Department. The resulting real-time pedestrian counts will help assess local physical activity interventions and inform recommendations for St. Louis' new Complete Streets initiative.",CTY
Playable Stories,https://knightfoundation.org/grants/6783,,04/29/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,The Playable Stories Wordpress plugin and a mobile friendly Playable Stories Wordpress theme to allow journalists to rapidly design and produce interactive narrative mobile-ready news experiences based on the best principles of games and journalism.,Arizona State University News Games Project
Neighborhood Drawing Tool,https://knightfoundation.org/grants/6790,,04/29/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,The Neighborhood Drawing Tool is a web tool that will allow users to define their neighborhood boundaries and find data aggregated to that geography. Our goal is to build a working prototype so that users can pull the data they need at the geography they want easily and quickly so they can spend more time advocating for change in their neighborhood or informing discussion at a public meeting.,Metropolitan Area Planning Council
mRelief,https://knightfoundation.org/grants/6804,,04/29/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,We plan to secure accurate data more efficiently by developing a real-time interface for non-technical government actors to easily update changes to eligibility requirements for public assistance. Efficient eligibility screening helps beneficiaries access public assistance by reducing wait times. mRelief screening forms reduced eligibility determination time by 75 percent from 16 to 4 minutes.,mRelief
Railroad,https://knightfoundation.org/grants/6779,,04/29/2015 - 10/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"To prototype Railroad, a communications tool that captures user reactions to video messages, as part of an effort to accelerate and learn from early-stage media and information projects.",Railroad Project Inc.
Metadata Graphing Interface,https://knightfoundation.org/grants/6786,,04/29/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,Chicago Public Media (CPM) will create a data storage container capable of housing a large volume of complex data relationships and an application powerful enough to analyze and render those connections in various user-facing interfaces in a way that web publishers may create richly described content graphs simply by drawing the known connections between entities referenced in the content itself.,Chicago Public Media
Mississippi Today,https://knightfoundation.org/grants/6740,,04/15/2015 - 04/15/2016,"$ 250,000.00",Journalism,,"To advance journalism excellence by supporting Mississippi Today, a new nonprofit digital news outlet partnering with universities to provide top-flight coverage of race, poverty, education, health and the statehouse.",Mississippi News and Information Corporation
TrollBusters,https://knightfoundation.org/grants/6797,,04/14/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,TrollBusters is an online and mobile service to address online cyberbullying using positive messaging and targeted services,Michelle Ferrier
Crisis Text Line,https://knightfoundation.org/grants/6713,,04/03/2015 - 09/14/2017,"$ 1,308,000.00",Technology,,"To promote a new model for digital engagement through mobile devices and the creation of broadly distributed crisis data by growing, Crisis Text Line, a text messaging support line for individuals in crisis.",Crisis Text Line
Public Space Public Life,https://knightfoundation.org/grants/6727,,04/03/2015 - 07/18/2017,"$ 1,602,000.00",Communities,,To increase civic engagement through new methods and tools for designing public spaces in Knight communities.,"Gehl.Org, Inc."
Reimagining Radiotopia,https://knightfoundation.org/grants/6721,,04/03/2015 - 07/18/2017,"$ 1,008,000.00",Technology,,To promote a sustainable model for original public media creation in the digital age by supporting PRX's Radiotopia podcast network.,PRX Inc.
Corner Concerts,https://knightfoundation.org/grants/6738,,04/01/2015 - 05/31/2016,"$ 5,000.00",Arts,,To engage Macon audiences with 'Corner Concerts' - a series of pop-up live music events in vacant and underutilized spaces across downtown Macon.,SoundX LLC
Underline Master Plan,https://knightfoundation.org/grants/6630,,04/01/2015 - 12/01/2015,"$ 250,000.00",Communities,,"To support civic engagement and talent retention in Miami by funding a matching grant for The Underline which will engage the public and design a master plan of a connected, vibrant 10-mile greenway in Miami.","Friends of the Underline, Inc."
Sportsmanias Social Media and Sports Summit,https://knightfoundation.org/grants/6720,,04/01/2015 - 09/01/2015,"$ 50,000.00",Journalism,,"To support Sportsmanias' Social Media and Sports Summit in Miami, which will unite sports writers, media executives and key sports leaders from across the country to engage in conversation on the evolution of journalism and its intersection with social media.","Ante Diem, LLC dba Sportsmanias"
BlackStar Film Festival 2015,https://knightfoundation.org/grants/6749,,04/01/2015 - 03/31/2016,"$ 50,000.00",Arts,,To engage Philadelphia audiences with the 2015 BlackStar Film Festival - an independent film festival celebrating filmmakers of the African diaspora.,Black Lily Inc.
Mobile Team,https://knightfoundation.org/grants/6622,,04/01/2015 - 07/31/2017,"$ 2,566,750.00",Journalism,,"To create a multidisciplinary journalism lab in the newsroom of Guardian US to test and adapt news content for mobile consumption using new approaches, and to disseminate metrics and learning.
 Guardian US will assemble a multidisciplinary editorial and production team that includes designers, developers and reporters and embed it within its news operations. With mobile audiences now accounting for over 50 percent of the Guardian’s daily traffic, the lab will aim to create new and more engaging ways for people to consume news on their mobile devices. Additionally, the lab will explore the challenges faced by journalists in the mobile age and experiment with new ways of bringing stories to life on smaller screens. It will also look at ways of engaging readers in storytelling in real time and at advancing citizen participation in breaking news.",Guardian News & Media LLC
Bless Me Ultima Artist Commission and Engagement Work,https://knightfoundation.org/grants/6773,,04/01/2015 - 11/30/2017,"$ 30,000.00",Arts,,To engage San Jose audiences through a series of workshops for students and adults that will culminate in the creation of 'Bless Me Ultima' - a Spanish language opera based on the work of Rudolfo Anaya.,Opera Cultura
The Urban Consulate,https://knightfoundation.org/grants/6762,,03/30/2015 - 10/14/2016,"$ 150,000.00",Communities,Knight Cities Challenge,"Promoting cross-city cultural and civic exchange by setting up a network of new “consulates” initially located in Detroit, Philadelphia and New Orleans that offer events and an entrée into local culture.",Claire Nelson
Unbox Akron,https://knightfoundation.org/grants/6764,,03/30/2015 - 10/14/2016,"$ 52,168.00",Communities,Knight Cities Challenge,Fostering a stronger connection to the city by creating a subscription service that celebrates Akron with a monthly selection of local goods and experiences delivered in a box.,Crossroads Writers Conference
No Barriers Project,https://knightfoundation.org/grants/6765,,03/30/2015 - 10/14/2016,"$ 67,100.00",Communities,Knight Cities Challenge,"Bringing two diverse neighborhoods together in a public park that sits on their border by creating a new common space that uses light, sound and play to stimulate conversation.",City of Charlotte
Macon Civic Spaces,https://knightfoundation.org/grants/6766,,03/30/2015 - 10/14/2016,"$ 124,300.00",Communities,Knight Cities Challenge,"Creating an umbrella organization to bring together individual park volunteer groups to create a network of advocates, interested in improving and maintaining local parks as vibrant community engagement venues.",Park Advocacy Macon
'Porch' Swings in public places,https://knightfoundation.org/grants/6767,,03/30/2015 - 10/14/2016,"$ 28,000.00",Communities,Knight Cities Challenge,Fostering conversation among strangers by installing Charlotte’s signature porch swings in public spaces.,City of Charlotte
Urban Arboreta,https://knightfoundation.org/grants/6768,,03/30/2015 - 10/14/2016,"$ 65,000.00",Communities,Knight Cities Challenge,Transforming vacant land in Philadelphia into urban forests that produce trees to be replanted on city streets and in parks.,City Parks Association of Philadelphia
MN Nice Breakers,https://knightfoundation.org/grants/6769,,03/30/2015 - 10/14/2016,"$ 37,960.00",Communities,Knight Cities Challenge,Making the city more welcoming by using existing events to help newcomers quickly establish social networks that attach them to the city.,Jun-Li Wang
Northside Common Market,https://knightfoundation.org/grants/6733,,03/30/2015 - 10/14/2016,"$ 550,000.00",Communities,Knight Cities Challenge,Repurposing a vacant bus station into a market for locally grown food and locally made goods and a creative business incubator that will serve as a neighborhood hub.,North Limestone Community Development Corporation
The Buzz,https://knightfoundation.org/grants/6747,,03/30/2015 - 10/14/2016,"$ 84,055.00",Communities,Knight Cities Challenge,Pairing barbers with landscape contractors to transform overgrown vacant lots through facilitated design workshops that teach mowing and pattern-making techniques.,Detroit Economic Growth Corp.
The Science Barge,https://knightfoundation.org/grants/6751,08/31/2016,03/30/2015 - 10/14/2016,"$ 298,633.00",Communities,Knight Cities Challenge,"Creating a public focal point for Miami’s climate issues with the Science Barge, a floating, urban sustainable farm and environmental education center powered by renewable energy.",CappSci
Take Ten Initiative,https://knightfoundation.org/grants/6755,,03/30/2015 - 10/14/2016,"$ 74,000.00",Communities,Knight Cities Challenge,Challenging municipal workers to take 10 minutes each week to connect with a city resident and report on their thoughts and ideas.,City of Charlotte
RE:Brand Detroit: Innovating Detroit Neighborhoods,https://knightfoundation.org/grants/6757,,03/30/2015 - 10/14/2016,"$ 164,810.00",Communities,Knight Cities Challenge,Changing the narrative of underserved neighborhoods by developing compelling branding and digital presences for neighborhood businesses that better tell their stories.,Brand Camp University
Better Block International Hostel on Airbnb,https://knightfoundation.org/grants/6760,,03/30/2015 - 10/14/2016,"$ 155,000.00",Communities,Knight Cities Challenge,Turning a vacant property into an AirBnB hostel and cultural hub in Akron’s North Hill to tap the entrepreneurial potential of the neighborhood’s growing Bhutanese population.,Team Better Block
ArtHouse: a Social Kitchen,https://knightfoundation.org/grants/6771,,03/30/2015 - 10/14/2016,"$ 650,000.00",Communities,Knight Cities Challenge,Repurposing an underutilized space in downtown Gary as a culinary incubator and café designed to reinvigorate downtown while creating jobs and opportunities for residents.,Rebuild Foundation
LIVE Detroit,https://knightfoundation.org/grants/6741,,03/30/2015 - 10/14/2016,"$ 40,000.00",Communities,Knight Cities Challenge,Attracting and retaining residents by creating a center for information about Detroit neighborhoods and city life that showcases the best of Detroit.,LIVE Detroit
The Pop-Up Pool Project,https://knightfoundation.org/grants/6742,,03/30/2015 - 10/14/2016,"$ 297,000.00",Communities,Knight Cities Challenge,"Introducing fun, easy solutions at city pools, which will be designed to make them more vibrant places to meet and interact with neighbors and friends.",Group Melvin Design
Neighborhood Conservation Kit,https://knightfoundation.org/grants/6752,,03/30/2015 - 10/14/2016,"$ 20,000.00",Communities,Knight Cities Challenge,Putting the future of communities in residents’ hands with a toolkit they can use to create a special zoning designation called a Neighborhood Conservation Overlay.,Central Roxborough Civic Association
San Pedro Squared,https://knightfoundation.org/grants/6754,,03/30/2015 - 10/14/2016,"$ 139,000.00",Communities,Knight Cities Challenge,Testing a new method of economic revival focused on bringing activity to the streets by installing pop-up retail units on the ground floor of a parking structure opposite the lively San Pedro Square market.,San Jose Downtown Association
Minimum Grid: Maximum Impact,https://knightfoundation.org/grants/6770,,03/30/2015 - 10/14/2016,"$ 199,195.00",Communities,Knight Cities Challenge,Establishing a comprehensive network of bicycle and pedestrian connections among the entertainment and business district of Uptown and the 24 diverse neighborhoods of MidTown.,MidTown Inc.
Community Resource Aggregator,https://knightfoundation.org/grants/6784,,03/30/2015 - 12/31/2015,"$ 35,000.00",Technology,Knight Prototype Fund: Arts and Technology,"UCB is an approach to overcome the poverty trap for individuals, families, and communities. Our mobile-based loyalty program for low-income families provides social and financial service rewards in exchange for community involvement in schools, businesses, health centers, and civic programs.",Union Capital Boston
8-80 Vitality Fellow,https://knightfoundation.org/grants/6746,,03/30/2015 - 10/14/2016,"$ 175,000.00",Communities,Knight Cities Challenge,"Promoting a more livable St. Paul by embedding a fellow in the mayor’s office who will work across departments to manage the $42 million committed to the mayor’s 8-80 Vitality Fund, which aims to ensure that walking, biking and public spaces are a priority in all city projects.",City of Saint Paul
Philadelphia Immigrant Innovation Hub,https://knightfoundation.org/grants/6748,,03/30/2015 - 10/14/2016,"$ 261,500.00",Communities,Knight Cities Challenge,"Harnessing the talent and energy of immigrants to revitalize distressed neighborhoods by providing centers that would offer immigrant entrepreneurs low-cost space, language assistance, workshops and trainings, and access to traditional and non-traditional sources of capital.",Mt. Airy USA
4 Play,https://knightfoundation.org/grants/6753,,03/30/2015 - 10/14/2016,"$ 117,000.00",Communities,Knight Cities Challenge,Changing the way people perceive the city and its climate by inviting all residents to come together for an outdoor activity—whether it’s ice fishing or summer canoeing—once per season.,GREATER MSP (Minneapolis-Saint Paul Regional Economic Development Partnership
